Recipient,Amount
0x8410be979488ad0bf3bcef987429e727be3f7d05,280867.13
0xb4953224caa474d7491640bc3f760b859a450225,280504.65
0xce0c4093b7b23eaf379c505e555104c4ad8c5d17,277686.92
0xa405b6fc50ed70dc27bbfe82983baba116d51a1c,277139.54
0xc02d32caa4139a4a5534155a894df2adacf4d216,276858.35
0x0668b1a7013f6bb51524ae26f8ce895f60ae6c7d,275876.25
0x74c6a072439a42dbe7e9007762be0beebc5db11f,275635.44
0x4b629155048798ffac18ae27cbc01f112616bad8,275599.76
0xbb24deef7241d96dc809647113de0dbe6d2875f0,275550.33
0x57a336c20c11787c23cb82bc763e0388d15dce1d,275485.68
0xadd8b3236e559577f21d115d6c3857d4e97b3f78,275166.7
0x120f4646ed27529635e45a30bf44d640338cd53e,273939.09
0xc2413ced12380ebf20b0fb007938320b0b6d80b3,273544.09
0xcf3b5e3fea3469751ec9939ad358f8a41665f5f7,272140.77
0xe3f083e175ccbdacc514573d225d54ec7a5b5427,271662.75
0xd43fd4fb8e454699ac9157c438320931edcffde4,270557.17
0xaf04d9d85f38dad5c7168a6a23be3acf7a086137,268021.07
0x561bdecced7064c8fab77f0d13390c68e9910419,263571.92
0xfa73dc08f0921fa0e6d0300ac46334b4df6e6330,263042.3
0x5615c1123665dc53d54e027ae5041dcbdbd2e8cd,262795.88
0xc3bb7f81ec93afba11ba5222dc418fe875ee78f7,261424.09
0x0d55da70329d32b9fa45c7bc8c11bfff98c46895,259929.82
0x3e00ba2d0a0256488c8b8fada6437897d0c578a7,259787.98
0xf4ef0703b42df08b4b1f6c6d9123577ce458130f,259647.36
0x4ccbaeae70775c7a24256ee0fe20d6276c6dae7f,259534.77
0x98a8452d874ea97e575dad984f62cd58a137231c,259429.26
0x2970ea99f30174a5d9021d2f30719d3b9b9559bb,259050.85
0x5d84adb373add1e76d3d317b5f1bbb5d2ef1a504,256532.42
0x3d84f33bdb68f536e01e59179ee990987d5cac6b,256150.11
0x49e05e70ba5cbc364b5abc57a41a4444230ffb0a,253378.86
0xc883f1b7768ef3fab9e4f1c7ecd4ff879b36cb04,252058.41
0xb963ed96afc1a30fdad66bd85118ad9729734ada,251726.15
0x25a00d6002605036c5aef0317724de4f58b679a5,250794.36
0x9ad667b6e7af554555121b36676372b0ae097975,250614.79
0x50ae3d5abe9fb3d84b653e47a94f91e09bcd5930,249516.62
0x832225c5a105254c075010e1e0c74b370fc1e748,247991.43
0x4003be01ac32094cf189db0817e1088d96108a45,247987.37
0x3e54a5fe18eb8e1b091134e2cce573f3c1136c08,247816.49
0x597e11b13ed3c543bc9352b3a8aecb0e9706a0fa,246348.24
0xb98da00837eeba8e827e35b83946c94f8d4d4d86,245218.72
0x249ffce3f52028d84f6488fd9272be00ad3a9fd7,244992.96
0x07cd20a4fefd0163a3699f778d047ff40b48c26b,244716.72
0x2644a03d82484660b95199c4c1e4872e4630c55f,243079.32
0xcd4a10b98815a2c9d29b49334a876c43eb061bbd,242530.79
0xa30917e8f4f61f9ed4fc6b54ec1f69c6404a39ce,242275.32
0x59682bff0ccbb955ae1c454054d71070045422ef,241949.66
0x635e00204f9ec6d789efa13bcc550bc268771962,241575.67
0xaa888e80200bd8de9c2c261b8772cdea5df61af4,239270.98
0x382a6afacfa15cf6a9acc7f177e0ab39e5c0882b,238728.98
0x31c3573cc3958290ec514f3c8cebb336932e6232,237096.35
0x341eae9263064d882e97d38406b373cd856f0bf0,236570.73
0xc0dcb8bb1d8b872b258073c7c16a6c028ed6eb73,236461.93
0x3a4ecd2e04ade8bf691374ea351947b90009e8b8,235806.96
0x18db964072fb8552d41857d47787e3604b85c589,234959.34
0x4bba1fcebe9d56129aa31227fed66a4b87bfebc0,233214.03
0xb3064eea9bda55eb84d814e400e638df2952ac40,231766.42
0xb1b8f13b1fba3afb88daecf6f6c7fe95990ee894,230452.99
0x29d541ca132d634833f62e8ec05e98ede894d0a1,230218.49
0x1690a37b1e1e7aa729383fe2bab20ab58148d6eb,230142.41
0x7cc3ee6882a5473324db4d0e3c2c514eac71053c,228791.89
0xf609a80c54d7351f57448e457a9bee4dc6bcc446,227763.94
0xbb3b660a60a8123fb51d2c952d598f2596ece1d8,227379.15
0xbc3ec57a08be31fdb98399e2f6adf8ce47352ccf,226705.67
0x9a578ccb1189cd56381829b2172bfaf9f6054055,226572.92
0x71eb48b918af2e44afcc51ff82d57dbc02b31a95,226547.24
0x9ab7350b76705ff79e3b82a88ce481328470f9e4,226409.94
0x31ce8b0b6fe107d79ef5415c871c9e65a3dfef00,225318.87
0xd5a3e2239c9fd567187f58774c55db38fe6c68de,225041.56
0x4af0042d2f7b7cabcaf15a9df47d31eb95880d5f,225001.33
0x60376b567e562f2b78c3b67d9981b4ddd5be8e52,224854.41
0xcbbb9944912156c27421c297d46a505c8ce54766,224750.63
0xbf91e6b08a984382c389238dfdc8d874bde85958,224570.76
0xd96667db0e5ab2a5662c88056eddbec47989838d,223490.97
0xf0e97f2b59937bde29d4c6abd234d50a4adf937f,222116.72
